"Date","AUS"
"19/04","44"
"20/04","48"
"21/04","47"
"22/04","47"
"23/04","61"
"24/04","67"
"25/04","68"
"26/04","73"
"27/04","71"
"28/04","75"
"29/04","69"
"30/04","72"
"01/05","73"
"02/05","63"
"03/05","59"
"04/05","60"
"05/05","54"
"06/05","46"
"07/05","39"
"08/05","38"
"09/05","35"
"10/05","35"
"11/05","32"
"12/05","31"
"13/05","27"
"14/05","24"
"15/05","24"
"16/05","23"
"17/05","23"
"18/05","25"
"19/05","22"
"20/05","22"
"21/05","21"
"22/05","22"
"23/05","18"
"24/05","19"
"25/05","17"
"26/05","20"
"27/05","18"
"28/05","19"
"29/05","17"
"30/05","19"
"31/05","21"
"01/06","17"
"02/06","21"
"03/06","20"
"04/06","19"
"05/06","17"
"06/06","16"
"07/06","17"
"08/06","18"
"09/06","14"
"10/06","16"
"11/06","16"
"12/06","15"
"13/06","16"
"14/06","24"
"15/06","26"
"16/06","27"
"17/06","35"
"18/06","39"
"19/06","36"
"20/06","36"
"21/06","40"
"22/06","42"
"23/06","45"
"24/06","49"
"25/06","52"
"26/06","52"
"27/06","56"
"28/06","58"
"29/06","59"
"30/06","62"
"01/07","67"
"02/07","73"
"03/07","66"
"04/07","75"
"05/07","81"
"06/07","83"
"07/07","97"
"08/07","103"
"09/07","104"
"10/07","112"
"11/07","113"
"12/07","126"
"13/07","125"
"14/07","128"
"15/07","132"
"16/07","132"
"17/07","123"
"18/07","124"
"19/07","128"
"20/07","142"
"21/07","155"
"22/07","155"
"23/07","173"
"24/07","174"
"25/07","180"
"26/07","191"
"27/07","207"
"28/07","201"
"29/07","243"
"30/07","247"
"31/07","247"
"01/08","295"
"02/08","314"
"03/08","350"
"04/08","365"
"05/08","369"
"06/08","388"
"07/08","426"
"08/08","441"
"09/08","426"
"10/08","432"
"11/08","440"
"12/08","428"
"13/08","439"
"14/08","427"
"15/08","423"
"16/08","439"
"17/08","493"
"18/08","503"
"19/08","514"
"20/08","511"
"21/08","554"
"22/08","603"
"23/08","641"
"24/08","667"
"25/08","708"
"26/08","765"
"27/08","836"
"28/08","853"
"29/08","888"
"30/08","925"
"31/08","951"
"01/09","999"
"02/09","1047"
"03/09","1068"
"04/09","1138"
"05/09","1137"
"06/09","1187"
"07/09","1278"
"08/09","1276"
"09/09","1305"
"10/09","1318"
"11/09","1,338"
"12/09","1379"
"13/09","1375"
"14/09","1442"
"15/09","1442"
"16/09","1444"
"17/09","1484"
"18/09","1,455"
"19/09","1,468"
"20/09","1,442"
"21/09","1541"
"22/09","1518"
"23/09","1530"
"24/09","1,512"
"25/09","1,529"
"26/09","1,493"
"27/09","1,538"
"28/09","1,551"
"29/09","1,479"
"30/09","1514"
"01/10","1,483"
"02/10","1,468"
"03/10","1494"
"04/10","1500"
"05/10","1537"
"06/10","1528"
"07/10","1520"
"08/10","1522"
"09/10","1437"
"10/10","1446"
"11/10","1492"
"12/10","1486"
"13/10","1463"
"14/10","1459"
"15/10","1414"
"16/10","1493"
"17/10","1441"
"18/10","1502"
"19/10","1416"
"20/10","1379"
"21/10","1344"
"22/10","1310"
"23/10","1285"
"24/10","1307"
"25/10","1318"
"26/10","1310"
"27/10","1192"
"28/10","1151"
"29/10","1126"
"30/10","1113"
"31/10","1064"
"01/11","1068"
"02/11","1019"
"03/11","984"
"04/11","978"
"05/11","932"
"06/11","934"
"07/11","851"
"08/11","835"
"09/11","851"
"10/11","725"
"11/11","702"
"12/11","681"
"13/11","654"
"14/11","638"
"15/11","615"
"16/11","632"
"17/11","598"
"18/11","574"
"19/11","559"
"20/11","538"
"21/11","547"
"22/11","564"
"23/11","550"
"24/11","531"
"25/11","563"
"26/11","557"
"27/11","536"
"28/11","512"
"29/11","542"
"30/11","543"
"01/12","532"
"02/12","513"
"03/12","511"
"04/12","517"
"05/12","541"
"06/12","562"
"07/12","543"
"08/12","529"
"09/12","539"
"10/12","544"
"11/12","537"
"12/12","535"
"13/12","569"
"14/12","610"
"15/12","625"
"16/12","672"
"17/12","716"
"18/12","717"
"19/12","759"
"20/12","755"
"21/12","776"
"22/12","794"
"23/12","862"
"24/12","910"
"25/12","893"
"26/12","968"
"27/12","1000"
"28/12","1066"
"29/12","1176"
"30/12","1308"
"31/12","1460"
"01/01","1605"
"02/01","1827"
"03/01","2,003"
"04/01","2206"
"05/01","2523"
"06/01","2707"
"07/01","2904"
"08/01","3107"
"09/01","3323"
"10/01","3544"
"11/01","3865"
"12/01","4000"
"13/01","4227"
"14/01","4,426"
"15/01","4,603"
"16/01","4,761"
"17/01","5046"
"18/01","5237"
"19/01","5307"
"20/01","5277"
"21/01","5,147"
"22/01","5,108"
"23/01","5,036"
"24/01","5,173"
"25/01","5,391"
"26/01","5,227"
"27/01","5,090"
"28/01","5,021"
"29/01","4,953"
"30/01","4,790"
"31/01","4,947"
"01/02","4,954"
"02/02","4,665"
"03/02","4,594"
"04/02","4,448"
"05/02","4,255"
"06/02","4,147"
"07/02","3,916"
"08/02","3,801"
"09/02","3,588"
"10/02","3,414"
"11/02","3,293"
"12/02","3,126"
"13/02","3,010"
"14/02","3,069"
"15/02","2,949"
"16/02","2,738"
"17/02","2,677"
"18/02","2,528"
