"Date","AUS"
"19/04","3"
"20/04","2"
"21/04","1"
"22/04","1"
"23/04","1"
"24/04","1"
"25/04","1"
"26/04","1"
"27/04","1"
"28/04","2"
"29/04","2"
"30/04","2"
"01/05","2"
"02/05","2"
"03/05","1"
"04/05","1"
"05/05","1"
"06/05","1"
"07/05","1"
"08/05","1"
"09/05","2"
"10/05","2"
"11/05","2"
"12/05","3"
"13/05","3"
"14/05","3"
"15/05","3"
"16/05","3"
"17/05","3"
"18/05","3"
"19/05","1"
"20/05","1"
"21/05","1"
"22/05","1"
"23/05","1"
"24/05","1"
"25/05","1"
"26/05","1"
"27/05","2"
"28/05","1"
"29/05","1"
"30/05","1"
"31/05","1"
"01/06","1"
"02/06","1"
"03/06","0"
"04/06","0"
"05/06","0"
"06/06","0"
"07/06","0"
"08/06","0"
"09/06","0"
"10/06","0"
"11/06","0"
"12/06","0"
"13/06","0"
"14/06","1"
"15/06","1"
"16/06","1"
"17/06","1"
"18/06","1"
"19/06","1"
"20/06","1"
"21/06","1"
"22/06","1"
"23/06","0"
"24/06","0"
"25/06","1"
"26/06","1"
"27/06","1"
"28/06","2"
"29/06","1"
"30/06","1"
"01/07","3"
"02/07","4"
"03/07","6"
"04/07","7"
"05/07","7"
"06/07","9"
"07/07","10"
"08/07","13"
"09/07","12"
"10/07","18"
"11/07","17"
"12/07","20"
"13/07","23"
"14/07","22"
"15/07","22"
"16/07","21"
"17/07","21"
"18/07","21"
"19/07","27"
"20/07","30"
"21/07","26"
"22/07","31"
"23/07","35"
"24/07","41"
"25/07","46"
"26/07","47"
"27/07","49"
"28/07","60"
"29/07","58"
"30/07","62"
"31/07","62"
"01/08","58"
"02/08","59"
"03/08","57"
"04/08","57"
"05/08","57"
"06/08","55"
"07/08","60"
"08/08","62"
"09/08","70"
"10/08","63"
"11/08","64"
"12/08","65"
"13/08","67"
"14/08","68"
"15/08","66"
"16/08","67"
"17/08","73"
"18/08","80"
"19/08","86"
"20/08","90"
"21/08","94"
"22/08","108"
"23/08","112"
"24/08","120"
"25/08","128"
"26/08","132"
"27/08","133"
"28/08","139"
"29/08","140"
"30/08","153"
"31/08","162"
"01/09","175"
"02/09","184"
"03/09","180"
"04/09","198"
"05/09","198"
"06/09","200"
"07/09","220"
"08/09","226"
"09/09","235"
"10/09","244"
"11/09","258"
"12/09","257"
"13/09","263"
"14/09","279"
"15/09","280"
"16/09","284"
"17/09","279"
"18/09","291"
"19/09","292"
"20/09","297"
