"","Active Cases","Deaths","Recoveries","Inactives removed"
"30/06","319","910","26,607","2,775"
"01/07","340","910","26,615","2,778"
"02/07","375","910","26,616","2,784"
"03/07","415","910","26,618","2,791"
"04/07","423","910","26,634","2,790"
"05/07","456","910","26,638","2,799"
"06/07","475","910","26,639","2,808"
"07/07","486","910","26,640","2,825"
"08/07","515","910","26,645","2,837"
"09/07","546","910","26,647","2,852"
"10/07","594","910","26,650","2,863"
"11/07","658","911","26,654","2,880"
"12/07","773","911","26,659","2,883"
"13/07","850","912","26,663","2,898"
"14/07","929","912","26,669","2,920"
"15/07","984","912","26,681","2,939"
"16/07","1065","912","26,692","2,963"
"17/07","1161","913","26,695","3,002"
"18/07","1268","914","26,698","3,018"
"19/07","1360","915","26,702","3,041"
"20/07","1452","915","26,706","3,056"
"21/07","1583","915","26,774","3,003"
"22/07","1697","915","26,776","3,041"
"23/07","1834","916","26,781","3,051"
"24/07","1979","916","26,793","3,067"
"25/07","2122","916","26,802","3,077"
"26/07","2272","918","26,809","3,082"
"27/07","2437","920","26,813","3,098"
"28/07","2627","921","26,818","3,108"
"29/07","2859","923","26,825","3,125"
"30/07","2847","923","26,839","3,300"
"31/07","2991","924","26,864","3,352"
"01/08","3153","924","26,895","3,414"
"02/08","3338","925","26,927","3,423"
"03/08","3539","925","26,937","3,434"
"04/08","3719","927","26,980","3,464"
"05/08","3957","932","27,007","3,491"
"06/08","4160","933","27,028","3,568"
"07/08","4493","938","27,043","3,572"
"08/08","4731","939","27,062","3,599"
"09/08","5004","939","27,074","3,614"
"10/08","5333","943","27,092","3,642"
"11/08","5635","945","27,104","3,689"
"12/08","5878","947","27,116","3,814"
"13/08","6210","949","27,131","3,877"
"14/08","6585","953","27,140","3,985"
"15/08","6980","958","27,144","4,015"
"16/08","7451","966","27,155","4,043"
"17/08","7924","967","27,178","4,028"
"18/08","8436","970","27,193","4,175"
"19/08","8937","971","27,201","4,413"
"20/08","9497","975","27,271","4,485"
"21/08","10206","978","27,304","4,631"
"22/08","10942","981","27,330","4,773"
"23/08","11661","984","27,372","4,905"
"24/08","12300","984","27,394","5,072"
"25/08","13145","986","27,420","5,177"
"26/08","14037","989","27,438","5,375"
"27/08","14,888","991","27,457","5,479"
"28/08","15,737","993","27,493","5,714"
"29/08","16,855","999","27,531","5,872"
"30/08","18,037","1,003","27,582","5,990"
"31/08","19,123","1,006","27,639","6,083"
"01/09","20,243","1,012","27,701","6,137"
"02/09","21,476","1,019","27,767","6,313"
"03/09","22,765","1,032","27,850","6,563"
"04/09","24,281","1,036","27,967","6,667"
"05/09","25,588","1,039","28,058","6,924"
"06/09","26,736","1,044","28,130","7,245"
"07/09","27,795","1,052","28,231","7,550"
"08/09","29,084","1,061","28,332","7,841"
"09/09","30,423","1,066","28,428","8,128"
"10/09","16,743","1,076","28,515","23,577"
"11/09","17,611","1,084","28,608","24,652"
"12/09","17,900","1,091","28,699","25,915"
"13/09","18,442","1,098","28,779","27,005"
"14/09","18,552","1,102","28,940","28,301"
"15/09","18,682","1,116","29,131","29,616"
"16/09","18,954","1,128","29,323","30,997"
"17/09","19,186","1,141","29,522","32,353"
"18/09","19,525","1,148","29,794","33,589"
"19/09","19,593","1,162","30,028","34,846"
"20/09","19,576","1,167","30,198","36,160"
"21/09","19,481","1,178","30,475","37,576"
"22/09","19,327","1,186","30,893","38,966"
"23/09","19,377","1,196","31,221","40,385"
"24/09","19,582","1,208","31,463","41,690"
"25/09","19,805","1,220","31,865","42,917"
"26/09","19,941","1,231","32,239","44,137"
"27/09","20,094","1,245","32,566","45,276"
"28/09","20,289","1,256","32,727","46,640"
"29/09","20,538","1,278","33,054","47,853"
