"","Active Cases","Deaths","Recoveries","Inactives removed"
"29/08","119,483","13,759","311,270","9,561,311"
"30/08","114,681","13,834","311,270","9,578,228"
"31/08","111,070","13,902","311,270","9,594,879"
"01/09","107,406","13,957","311,270","9,610,199"
"02/09","104,271","14,014","311,270","9,623,889"
"03/09","101,697","14,053","311,270","9,634,005"
"04/09","98,916","14,067","311,270","9,642,611"
"05/09","94,315","14,077","311,270","9,656,048"
"06/09","90,046","14,152","311,270","9,669,436"
"07/09","86,951","14,214","311,270","9,682,536"
"08/09","84,068","14,288","311,270","9,694,449"
"09/09","80,479","14,421","311,270","9,706,049"
"10/09","80,479","14,426","311,270",""
"11/09","80,479","14,428","311,270",""
"12/09","80,479","14,429","311,270",""
"13/09","80,479","14,454","311,270",""
"14/09","80,479","14,457","311,270",""
"15/09","80,479","14,465","311,270",""
"16/09","62,375","14,692","311,270",""
"17/09","62,375","14,696","311,270",""
"18/09","62,375","14,711","311,270",""
"19/09","62,375","14,716","311,270",""
"20/09","62,375","14,735","311,270",""
"21/09","62,375","14,739","311,270",""
"22/09","62,375","14,772","311,270",""
"23/09","52,248","14,994","311,270",""
"24/09","52,248","14,994","311,270",""
"25/09","52,248","14,994","311,270",""
"26/09","52,248","14,994","311,270",""
"27/09","52,248","14,994","311,270",""
"28/09","52,248","14,994","311,270",""
"29/09","52,248","14,994","311,270",""
"30/09","46,117","15,244","311,270",""
"01/10","46,117","15,244","311,270",""
"02/10","46,117","15,244","311,270",""
"03/10","46,117","15,244","311,270",""
"04/10","46,117","15,244","311,270",""
"05/10","46,117","15,244","311,270",""
"06/10","46,117","15,244","311,270",""
"","","15,358","",""
"","","15,358","",""
"","","15,358","",""
"","","15,358","",""
"","","15,358","",""
"","","15,358","",""
"","","15,358","",""
"","","15,480","",""
"","","15,480","",""
"","","15,480","",""
"","","15,480","",""
"","","15,480","",""
"","","15,480","",""
"","","15,480","",""
"","","15,565","",""
"","","15,565","",""
"","","15,565","",""
"","","15,565","",""
"","","15,565","",""
"","","15,565","",""
"","","15,565","",""
"","","15,674","",""
"","","15,674","",""
"","","15,674","",""
"","","15,674","",""
"","","15,674","",""
"","","15,674","",""
"","","15,674","",""
"","","15,790","",""
"","","15,790","",""
"","","15,790","",""
"","","15,790","",""
"","","15,790","",""
"","","15,790","",""
"","","15,790","",""
"","","15,885","",""
"","","15,885","",""
"","","15,885","",""
"","","15,885","",""
"","","15,885","",""
"","","15,885","",""
"","","15,885","",""
"","","16,005","",""
"","","16,005","",""
"","","16,005","",""
"","","16,005","",""
"","","16,005","",""
"","","16,005","",""
"","","16,005","",""
"","","16,115","",""
"","","16,115","",""
"","","16,115","",""
"","","16,115","",""
"","","16,115","",""
"","","16,115","",""
"","","16,115","",""
"","","16,210","",""
"","","16,210","",""
"","","16,210","",""
"","","16,210","",""
"","","16,210","",""
"","","16,210","",""
"","","16,210","",""
"","","16,401","",""
"","","16,401","",""
"","","16,401","",""
"","","16,401","",""
"","","16,401","",""
"","","16,401","",""
"","","16,401","",""
"","","16,668","",""
"","","16,668","",""
"","","16,668","",""
"","","16,668","",""
"","","16,668","",""
"","","16,668","",""
"","","16,668","",""
"","","16,914","",""
"","","16,914","",""
"","","16,914","",""
"","","16,914","",""
"","","16,914","",""
"","","16,914","",""
"","","16,914","",""
"","","17,039","",""
"","","17,039","",""
"","","17,039","",""
"","","17,039","",""
"","","17,039","",""
"","","17,039","",""
"","","17,039","",""
"","","17,329","",""
"","","17,329","",""
"","","17,329","",""
"","","17,329","",""
"","","17,329","",""
"","","17,329","",""
"","","17,329","",""
"","","17,742","",""
"","","17,742","",""
"","","17,742","",""
"","","17,742","",""
"","","17,742","",""
"","","17,742","",""
"","","17,742","",""
"","","18,123","",""
"","","18,123","",""
"","","18,123","",""
"","","18,123","",""
"","","18,123","",""
"","","18,123","",""
"","","18,123","",""
"","","18,493","",""
"","","18,493","",""
"","","18,493","",""
"","","18,493","",""
"","","18,493","",""
"","","18,493","",""
"","","18,493","",""
"","","18,719","",""
"","","18,719","",""
"","","18,719","",""
"","","18,719","",""
"","","18,719","",""
"","","18,719","",""
"","","18,719","",""
"","","18,967","",""
"","","18,967","",""
"","","18,967","",""
"","","18,967","",""
"","","18,967","",""
"","","18,967","",""
"","","18,967","",""
"","","19,121","",""
"","","19,121","",""
"","","19,121","",""
"","","19,121","",""
"","","19,121","",""
"","","19,121","",""
"","","19,121","",""
"","","19,245","",""
"","","19,245","",""
"","","19,245","",""
"","","19,245","",""
"","","19,245","",""
"","","19,245","",""
"","","19,245","",""
"","","19,338","",""
"","","19,338","",""
"","","19,338","",""
"","","19,338","",""
"","","19,338","",""
"","","19,338","",""
"","","19,338","",""
"","","19,470","",""
"","","19,470","",""
"","","19,470","",""
"","","19,470","",""
"","","19,470","",""
"","","19,470","",""
"","","19,470","",""
"","","19,582","",""
"","","19,582","",""
"","","19,582","",""
"","","19,582","",""
"","","19,582","",""
"","","19,582","",""
"","","19,582","",""
"","","19,656","",""
"","","19,656","",""
"","","19,656","",""
"","","19,656","",""
"","","19,656","",""
"","","19,656","",""
"","","19,656","",""
"","","19,754","",""
"","","19,754","",""
"","","19,754","",""
"","","19,754","",""
"","","19,754","",""
"","","19,754","",""
"","","19,754","",""
"","","19,837","",""
"","","19,837","",""
"","","19,837","",""
"","","19,837","",""
"","","19,837","",""
"","","19,837","",""
"","","19,837","",""
"","","19,954","",""
"","","19,954","",""
"","","19,954","",""
"","","19,954","",""
"","","19,954","",""
"","","19,954","",""
"","","19,954","",""
"","","20,064","",""
"","","20,064","",""
"","","20,064","",""
"","","20,064","",""
"","","20,064","",""
"","","20,064","",""
"","","20,064","",""
"","","20,177","",""
"","","20,177","",""
"","","20,177","",""
"","","20,177","",""
"","","20,177","",""
"","","20,177","",""
"","","20,177","",""
"","","20,315","",""
"","","20,315","",""
"","","20,315","",""
"","","20,315","",""
"","","20,315","",""
"","","20,315","",""
"","","20,315","",""
"","","20,476","",""
"","","20,476","",""
"","","20,476","",""
"","","20,476","",""
"","","20,476","",""
"","","20,476","",""
"","","20,476","",""
"","","20,600","",""
"","","20,600","",""
"","","20,600","",""
"","","20,600","",""
"","","20,600","",""
"","","20,600","",""
"","","20,600","",""
"","","20,784","",""
"","","20,784","",""
"","","20,784","",""
"","","20,784","",""
"","","20,784","",""
"","","20,784","",""
"","","20,784","",""
"","","20,967","",""
"","","20,967","",""
"","","20,967","",""
"","","20,967","",""
"","","20,967","",""
"","","20,967","",""
"","","20,967","",""
"","","21,163","",""
"","","21,163","",""
"","","21,163","",""
"","","21,163","",""
"","","21,163","",""
"","","21,163","",""
"","","21,163","",""
"","","21,368","",""
"","","21,368","",""
"","","21,368","",""
"","","21,368","",""
"","","21,368","",""
"","","21,368","",""
"","","21,368","",""
"","","21,517","",""
"","","21,517","",""
"","","21,517","",""
"","","21,517","",""
"","","21,517","",""
"","","21,517","",""
"","","21,517","",""
"","","21,722","",""
"","","21,722","",""
"","","21,722","",""
"","","21,722","",""
"","","21,722","",""
"","","21,722","",""
"","","21,722","",""
"","","21,854","",""
"","","21,854","",""
"","","21,854","",""
"","","21,854","",""
"","","21,854","",""
"","","21,854","",""
"","","21,854","",""
"","","21,973","",""
"","","21,973","",""
"","","21,973","",""
"","","21,973","",""
"","","21,973","",""
"","","21,973","",""
"","","21,973","",""
"","","22,066","",""
"","","22,066","",""
"","","22,066","",""
"","","22,066","",""
"","","22,066","",""
"","","22,066","",""
"","","22,066","",""
"","","22,234","",""
"","","22,234","",""
"","","22,234","",""
"","","22,234","",""
"","","22,234","",""
"","","22,234","",""
"","","22,234","",""
"","","22,268","",""
