",""Active cases"",""Hospitalisations"",""ICU"""
"15/03/2020,""276"",""0"",""0"""
"16/03/2020,""345"",""0"",""0"""
"17/03/2020,""404"",""0"",""0"""
"18/03/2020,""528"",""0"",""0"""
"19/03/2020,""669"",""0"",""0"""
"20/03/2020,""818"",""0"",""0"""
"21/03/2020,""1,032"",""0"",""0"""
"22/03/2020,""1,313"",""0"",""0"""
"23/03/2020,""1,631"",""0"",""0"""
"24/03/2020,""2,013"",""0"",""0"""
"25/03/2020,""2,373"",""0"",""0"""
"26/03/2020,""2,749"",""0"",""0"""
"27/03/2020,""3,065"",""0"",""0"""
"28/03/2020,""3,487"",""0"",""0"""
"29/03/2020,""3,768"",""0"",""0"""
"30/03/2020,""3,975"",""0"",""0"""
"31/03/2020,""4,196"",""32"",""6"""
"01/04/2020,""4,365"",""400"",""76"""
"02/04/2020,""4,490"",""415"",""81"""
"03/04/2020,""4,627"",""410"",""85"""
"04/04/2020,""4,679"",""460"",""92"""
"05/04/2020,""4,590"",""460"",""96"""
"06/04/2020,""4,496"",""458"",""96"""
"07/04/2020,""4,091"",""305"",""93"""
"08/04/2020,""3,722"",""263"",""87"""
"09/04/2020,""3,440"",""262"",""81"""
"10/04/2020,""3,264"",""236"",""74"""
"11/04/2020,""2,964"",""240"",""80"""
"12/04/2020,""2,744"",""239"",""81"""
"13/04/2020,""2,506"",""227"",""79"""
"14/04/2020,""2,314"",""230"",""80"""
"15/04/2020,""2,088"",""214"",""73"""
"16/04/2020,""1,902"",""201"",""67"""
"17/04/2020,""1,729"",""192"",""60"""
"18/04/2020,""1,312"",""184"",""55"""
"19/04/2020,""1,203"",""177"",""48"""
"20/04/2020,""1,108"",""170"",""49"""
"21/04/2020,""1,019"",""167"",""47"""
"22/04/2020,""935"",""162"",""47"""
"23/04/2020,""862"",""152"",""45"""
"24/04/2020,""787"",""138"",""42"""
"25/04/2020,""660"",""129"",""43"""
"26/04/2020,""499"",""115"",""43"""
"27/04/2020,""476"",""113"",""43"""
"28/04/2020,""446"",""109"",""42"""
"29/04/2020,""428"",""94"",""38"""
"30/04/2020,""386"",""89"",""34"""
"01/05/2020,""357"",""83"",""28"""
"02/05/2020,""308"",""79"",""28"""
"03/05/2020,""276"",""75"",""28"""
"04/05/2020,""280"",""70"",""28"""
"05/05/2020,""291"",""66"",""27"""
"06/05/2020,""295"",""62"",""27"""
"07/05/2020,""301"",""58"",""23"""
"08/05/2020,""291"",""56"",""21"""
"09/05/2020,""259"",""51"",""19"""
"10/05/2020,""254"",""43"",""17"""
"11/05/2020,""258"",""49"",""16"""
"12/05/2020,""264"",""47"",""16"""
"13/05/2020,""259"",""50"",""17"""
"14/05/2020,""263"",""51"",""18"""
"15/05/2020,""263"",""46"",""17"""
"16/05/2020,""255"",""49"",""16"""
"17/05/2020,""245"",""50"",""16"""
"18/05/2020,""227"",""45"",""12"""
"19/05/2020,""216"",""47"",""11"""
"20/05/2020,""203"",""43"",""9"""
"21/05/2020,""189"",""41"",""9"""
"22/05/2020,""185"",""39"",""7"""
"23/05/2020,""178"",""35"",""5"""
"24/05/2020,""172"",""33"",""5"""
"25/05/2020,""170"",""31"",""5"""
"26/05/2020,""166"",""30"",""5"""
"27/05/2020,""158"",""30"",""6"""
"28/05/2020,""161"",""29"",""5"""
"29/05/2020,""154"",""23"",""4"""
"30/05/2020,""147"",""22"",""4"""
"31/05/2020,""152"",""20"",""4"""
"01/06/2020,""154"",""20"",""3"""
"02/06/2020,""159"",""26"",""4"""
"03/06/2020,""154"",""25"",""5"""
"04/06/2020,""153"",""22"",""4"""
"05/06/2020,""150"",""21"",""2"""
"06/06/2020,""144"",""21"",""4"""
"07/06/2020,""146"",""18"",""3"""
"08/06/2020,""147"",""19"",""3"""
"09/06/2020,""140"",""18"",""2"""
"10/06/2020,""137"",""20"",""3"""
"11/06/2020,""127"",""18"",""2"""
