day,S,I,D,T1,T2,H,E,alpha,beta,gamma,delta1,delta2,epsi,sigma1,sigma2,tau1,tau2,lambda
31-Aug-2020,0.991515799680705,0.00041652253017918,0.000413915417615162,2.16011069561624e-05,1.66924837024418e-06,0.00703152308870022,0.000598968927488064,0.593920599004269,0.0105590508107827,0.0771801898417572,0.00199774607367382,0.000208882211515573,4.10145164475758e-05,0.0250175638434682,0.0249341139123466,0.00762954859996387,0.00790420371092917,0.00119532403093053
01-Sep-2020,0.991189870218752,0.000699668703829639,0.000454575151874007,2.17565289675633e-05,1.70507604562753e-06,0.00703327671172767,0.000599147608820198,0.497906265249869,0.00750873060787172,0.0771751620236629,0.00199775586727133,0.00020889178394183,3.98067412020669e-05,0.025017538209692,0.0249342048650406,0.00762949095863527,0.00790429841860257,0.00119760792525075
02-Sep-2020,0.9907574609242,0.0010639657477166,0.000519995582641401,2.20103560303007e-05,1.75054019366595e-06,0.00703548871040973,0.000599328138824472,0.0485679613505373,0.00471720329529509,0.0771628255567419,0.00199777466054864,0.000208912613070789,3.81392102018067e-05,0.0250174884175155,0.0249343862851455,0.00762937581051034,0.00790448557119224,0.00120145226622383
03-Sep-2020,0.990704344931191,0.00103485335620553,0.00059905533805135,2.2403148415422e-05,1.8099003120256e-06,0.00703802179349322,0.000599511532345694,0.0277676211636387,0.00323167158080406,0.077142905620649,0.00199780138363703,0.000208947098821485,3.62342530089853e-05,0.0250174161336525,0.0249346576939356,0.00762920272204122,0.00790476257898585,0.0012064896826912
04-Sep-2020,0.990674517421778,0.000985549955774454,0.000674792413260664,2.29357352109261e-05,1.88326977272806e-06,0.00704062221927799,0.000599698984935104,0.0224554526201138,0.00267532447820979,0.0771168148903795,0.00199783496513312,0.000208997956213623,3.41954834993831e-05,0.0250173233497962,0.0249350185934125,0.00762897066979005,0.00790512640400999,0.00121238713369266
05-Sep-2020,0.990651290580299,0.000933632932079363,0.000746342282719986,2.35960294554231e-05,1.9694162687407e-06,0.00704327713670459,0.000599891622478168,0.0207247574616287,0.00244383099804532,0.0770858454849097,0.00199787442394714,0.000209068069939005,3.20945506793108e-05,0.0250172124065337,0.0249354684567191,0.0076286781251462,0.00790557354445344,0.00121874918125757
06-Sep-2020,0.9906307573553,0.000883058629963678,0.000813669778014748,2.43716257213572e-05,2.06707872447156e-06,0.00704598506608637,0.000600090466188012,0.020564729918161,0.00236704675475298,0.077051102447484,0.00199791887083226,0.000209160486263655,2.99888253221188e-05,0.025017085992505,0.0249360067216598,0.00762832314503623,0.00790610003452365,0.0012251326494533
07-Sep-2020,0.990611276991302,0.000835304544202395,0.000876949505420438,2.5250686792999e-05,2.17506026368425e-06,0.00704874677745428,0.00060029643455676,0.0213913520023356,0.00238385463651987,0.0770135092791217,0.0019979675041574,0.000209278411415809,2.79244300098276e-05,0.025016947135812,0.0249366327854497,0.0076279034537824,0.00790670144522777,0.00123106571534968
08-Sep-2020,0.990591909718222,0.000791062097928347,0.000936439913931912,2.62221915897439e-05,2.29225447067764e-06,0.00705156347445163,0.000600510349392469,0.0230195236727823,0.00246863214206749,0.0769738265975003,0.00199801960466412,0.000209425209817143,2.59366401828319e-05,0.0250167991912249,0.0249373460008717,0.00762741651611945,0.0079073728854593,0.00123606548740534
09-Sep-2020,0.990571978784517,0.000750717413910767,0.000992440969938096,2.72760256578421e-05,2.41765517810409e-06,0.00705443620761078,0.00060073294316961,0.0254226667045795,0.0026097457285891,0.0769326732727556,0.00199807453035311,0.00020960440066481,2.40504996447589e-05,0.0250166458252393,0.0249381456741782,0.00762685960227794,0.00790810900387439,0.0012396530178476
