alpha_yhat,alpha_yhat_lower,alpha_yhat_upper,gamma_yhat,gamma_yhat_lower,gamma_yhat_upper,delta_yhat,delta_yhat_lower,delta_yhat_upper,sigma_yhat,sigma_yhat_lower,sigma_yhat_upper,tau_yhat,tau_yhat_lower,tau_yhat_upper
0.21774843772786126,0.21768837027807267,0.21780551937044695,0.09850767905565429,0.09848107422212629,0.09853925392470352,0.0029620825374277204,0.002956380177017688,0.0029671524265672882,0.02128247880826291,0.02128028480123423,0.021284622512763182,0.028181567122635358,0.028169692467460133,0.028193197552499258
0.21784746028469076,0.21768029536279088,0.2180299728768082,0.09834795194014839,0.0982722039719609,0.09844615937364136,0.0029958427233975943,0.0029785303728966676,0.0030112741444272774,0.021280452259820993,0.021273656788649058,0.02128701387314094,0.028063794368752733,0.028029566463869268,0.028099794861572054
0.21801049407653603,0.21769510432915828,0.2183429564798266,0.09812082049157705,0.09795957579469204,0.09830169283782457,0.0030382565615814944,0.0030063578628944207,0.003067883334425222,0.02127651805142366,0.021263265780702176,0.021289240016086283,0.02793639087262577,0.027872136187558565,0.028004354636276763
0.21824646592502153,0.21772038694829662,0.2187695142595106,0.09786544413196203,0.0976198829821815,0.0981603967957398,0.00309556007564878,0.0030468678873638113,0.0031441830847650045,0.021270294201800426,0.021250158629677107,0.021290234876039198,0.02779587402847609,0.027694316687916627,0.027904839804286145
0.2185454721973817,0.21780709911313995,0.21930844689844864,0.09759485191433052,0.09724970304055536,0.09800151390017664,0.0031548442983401724,0.0030858757258648644,0.0032245428717785256,0.02126198798561363,0.02123346026730514,0.021290345082991137,0.027641175405395048,0.02749138350358506,0.02779409723911123
0.21890442042481817,0.21789412928244228,0.21992283090997108,0.09732512606366067,0.09686284500661425,0.09784138950093034,0.0032140116541949505,0.0031233322509927833,0.0033092483075472206,0.021250570456482112,0.021213233790936557,0.021288806667786524,0.02747256150758739,0.027277584312110355,0.027672108569986517
0.21921897341570615,0.2178927999768184,0.2205276501366394,0.09710297830787902,0.09652672769840812,0.09773623389662352,0.0032711304504548532,0.0031544353913985274,0.0033983206538247784,0.021240355788942587,0.021190754963848077,0.021288330150029684,0.027307266002004938,0.02705644075673757,0.02756436244560188
0.21933004383686405,0.21766965837062122,0.22092829833856498,0.0969464877182993,0.09622139211905457,0.09772991762274995,0.003302137293911598,0.003161762508268299,0.003458466979789858,0.021237477296126045,0.02117629401852072,0.02129544503456872,0.02718547985950404,0.026876748140709217,0.02749869026764022
0.21942906639369403,0.21740253429643722,0.22133504013357191,0.09678676060279323,0.09592872193169404,0.09772275297656911,0.003335897479881535,0.003164887097550267,0.0035213872294660425,0.021235450747684112,0.021160809263333455,0.02130621787401896,0.027067707105621307,0.026686782115672002,0.027436749871644274
0.21959210018553893,0.21720707477947973,0.22181924718155685,0.09655962915422199,0.09554795665247079,0.09765105253621421,0.0033783113180653945,0.003172524578992012,0.003597035159436334,0.021231516539286795,0.02114463613849613,0.02131397873426297,0.026940303609494426,0.02649066679715683,0.027371079945443758
0.2198280720340245,0.21715226172071259,0.22238511674928713,0.09630425279460696,0.09508941208009879,0.09757582725029997,0.0034356148321326918,0.0032014225013280036,0.003687032416873661,0.021225292689663555,0.02112447508982256,0.021320575314440853,0.02679978676534473,0.02628526162202737,0.02729368154205707
0.22012707830638467,0.2169869514381372,0.2230750568317622,0.09603366057697543,0.09465987600086274,0.09746784391193936,0.0034948990548240647,0.003232186741988991,0.00378163555605961,0.021216986473476758,0.0211008143164379,0.021325101386975555,0.02664508814226369,0.02604392818070899,0.027197305538315883
0.2204860265338211,0.21693081986037152,0.22382498195635694,0.09576393472630561,0.09424546092054435,0.09740509862050055,0.0035540664106788406,0.0032536161268707604,0.0038770332929953105,0.021205568944345242,0.02107435818888332,0.02132955948677498,0.026476474244456028,0.025810725558925215,0.027109837218259124
0.22080057952470913,0.21674461034115114,0.22450292284688442,0.09554178697052383,0.0938327495590287,0.09741076842603122,0.003611185206938762,0.0032723965949206964,0.003964521784045741,0.021195354276805713,0.021049490786407114,0.021338002602123787,0.026311178738873592,0.0255556605401142,0.027033820371856403
0.22091164994586684,0.21639658350337898,0.22512514746536177,0.0953852963809443,0.0935099889647586,0.0974410448346563,0.0036421920503954793,0.0032679838378979987,0.004039139347286967,0.021192475783989178,0.021030149478012766,0.021351763406888147,0.026189392596372707,0.025349047611190847,0.026981591922882426
0.22101067250269688,0.21603484022500627,0.2256781184636758,0.0952255692654382,0.09317509168599176,0.09743065392833739,0.003675952236365418,0.0032550749220389644,0.00411238934184958,0.02119044923554724,0.02101317260685134,0.021365615426924372,0.026071619842489974,0.025129299794249514,0.0269369051128823
0.2211737062945419,0.2156110735482437,0.22626283468595476,0.09499843781686702,0.09277748502053304,0.09735247225836105,0.003718366074549277,0.0032586993209702928,0.0041930445323705,0.021186515027149917,0.020993070572121714,0.021374508605167795,0.025944216346363052,0.024922486984325955,0.026881937507426457
0.22140967814302742,0.21541400457026083,0.2268593151899639,0.09474306145725186,0.09231373904963358,0.09729568790130604,0.0037756695886165892,0.003280553037958707,0.004302596595281739,0.02118029117752668,0.02097177966917765,0.02138391580394943,0.025803699502213385,0.024694248822556532,0.026840354953246034
0.22170868441538763,0.2150341878687315,0.22748023126009825,0.09447246923962035,0.09188769631553076,0.09722701173640654,0.0038349538113079565,0.003298165263856094,0.004399532642744969,0.021171984961339884,0.02094568818978682,0.02139155834018205,0.02564900087913234,0.024443989728369638,0.026783327085779983
0.22206763264282361,0.21495012841691377,0.2283727319630481,0.09420274338895067,0.09138113153225813,0.09720772814128814,0.0038941211671627025,0.0033261028766766463,0.004492114917196919,0.02116056743220839,0.020916882321992028,0.021393696118969904,0.025480386981324776,0.024157627423245023,0.02671273416183427
0.22238218563371198,0.2146619470693159,0.22917105445630276,0.09398059563316881,0.09099178119967156,0.09722043033226903,0.003951239963422654,0.0033415404557866,0.004589521206183693,0.021150352764668846,0.020889854090273885,0.021401144335251625,0.025315091475742246,0.023880590133835193,0.02663974786698646
